name;slug;short_description;full_description;price;sale_price;currency;main_image;category_slug;ready_to_wear_type;bridal_type;accessory_type;available;published;featured;purchase_type;product_status;made_to_order;lead_time_note
Floral Embroidered Midi Dress;floral-embroidered-midi-dress;Floral Embroidered Midi Dress: An elegant evening silhouette crafted for elevated occasions.;Floral Embroidered Midi Dress is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2000;;NIS;https://static.wixstatic.com/media/e126e7_c6b09382d9224ee68a7349cf048c76c8~mv2.jpg;ready-to-wear;Dresses;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Exotic Turquoise Embroidered Dress;exotic-turquoise-embroidered-dress;Exotic Turquoise Embroidered Dress: An elegant evening silhouette crafted for elevated occasions.;Exotic Turquoise Embroidered Dress is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2000;;NIS;https://static.wixstatic.com/media/e126e7_94eaaedfe35e4ac294459066d1eec0c2~mv2.jpg;ready-to-wear;Dresses;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Silver Sequin Embroidered Silk Dress;silver-sequin-embroidered-silk-dress;Silver Sequin Embroidered Silk Dress: An elegant evening silhouette crafted for elevated occasions.;Silver Sequin Embroidered Silk Dress is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2500;;NIS;https://static.wixstatic.com/media/e126e7_cd4c83302fb84f0baaa5b4caf4013bb2~mv2.jpg;evening-wear;;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;TRUE;Usually ready within 4 weeks.
Beige Dress with Colored Embroidery Details;beige-dress-with-colored-embroidery-details;Beige Dress with Colored Embroidery Details: An elegant evening silhouette crafted for elevated occasions.;Beige Dress with Colored Embroidery Details is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_cab847a05e2f4f668cf8e896a21eea28~mv2.jpg;ready-to-wear;Dresses;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Purple Embroidered Long Dress;purple-embroidered-long-dress;Purple Embroidered Long Dress: An elegant evening silhouette crafted for elevated occasions.;Purple Embroidered Long Dress is part of Maie Couture's curated edit, designed for formal dressing, receptions, and elevated celebrations. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_ccd25bde8d7a49a8a9700cab60d6879f~mv2.jpg;ready-to-wear;Dresses;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Beige Clutch;beige-clutch;Discover timeless elegance with our Beige Clutch from Maie Couture. Expertly crafted from high-quality beige fabric and enhanced with exquisite embroidery detail, this clutch is a;Discover timeless elegance with our Beige Clutch from Maie Couture. Expertly crafted from high-quality beige fabric and enhanced with exquisite embroidery detail, this clutch is a stunning accent to any ensemble. Perfect for both daytime events and glamorous evenings, it exudes sophistication and style. Make a statement by adding this versatile piece to your accessory collection today.;350;;NIS;https://static.wixstatic.com/media/e126e7_4396d263c7954edbb79c741b88369fe8~mv2.jpg;accessories;;;Clutches;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Look Back Black Bag;look-back-black-bag;Discover elegance and functionality with our Look Back Black Bag, exclusively at Maie Couture. Named for its eye-catching embroidery, this bag blends timeless style with modern fla;Discover elegance and functionality with our Look Back Black Bag, exclusively at Maie Couture. Named for its eye-catching embroidery, this bag blends timeless style with modern flair. Its spacious interior holds your essentials, while vibrant hues make it a standout accessory. Elevate your look and express your style. Shop now and experience Maie Couture's exceptional quality.;450;;NIS;https://static.wixstatic.com/media/e126e7_3e0807258f8d43bc85e231bae7d4a291~mv2.jpg;accessories;;;Bags;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Small Window Bag in Brown;small-window-bag-in-brown;Discover the exquisite charm of the Small Window Bag in Brown from Maie Couture. Crafted with meticulous attention to detail, this bag features stunning embroidery that adds a touc;Discover the exquisite charm of the Small Window Bag in Brown from Maie Couture. Crafted with meticulous attention to detail, this bag features stunning embroidery that adds a touch of elegance to your ensemble. Made from genuine real leather, its durable construction ensures longevity while exuding timeless sophistication. Perfect for any occasion, the Small Window Bag seamlessly blends style and functionality for the fashion-forward individual. Elevate your accessory game with this must-have piece.;450;;NIS;https://static.wixstatic.com/media/e126e7_f506f9c977bb4564aedfdaf88eebb3ad~mv2.jpg;accessories;;;Bags;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Brown Leather Clutch;brown-leather-clutch;Elevate your style with our Brown Leather Clutch, exclusively at Maie Couture. Crafted from genuine, premium leather, this clutch features a stunning mix of embroidery with vibrant;"Elevate your style with our Brown Leather Clutch, exclusively at Maie Couture. Crafted from genuine, premium leather, this clutch features a stunning mix of embroidery with vibrant deep pink and green hues, adding a perfect touch to the rich brown base. Ideal for any occasion, this clutch seamlessly blends elegance and functionality. Experience the superior quality and artisanal craftsmanship that defines Maie Couture. This accessory is more than just a clutch; it's a statement piece for the discerning fashion enthusiast.";450;;NIS;https://static.wixstatic.com/media/e126e7_7a60aadb46924d17a558d723d981e2fa~mv2.jpg;accessories;;;Clutches;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Flamboyant Embroidered Clutch;flamboyant-embroidered-clutch;Discover the Flamboyant Embroidered Clutch from Maie Couture. This elegant piece, featuring intricate embroidery, adds sophistication to any outfit. Ideal for evening events or a s;Discover the Flamboyant Embroidered Clutch from Maie Couture. This elegant piece, featuring intricate embroidery, adds sophistication to any outfit. Ideal for evening events or a stylish day out, its vibrant design and durability reflect Maie Couture's high standards. Elevate your style with this functional and stylish clutch.;450;;NIS;https://static.wixstatic.com/media/e126e7_19e8e8c000e94248b8ab38fcb56cf056~mv2.jpg;accessories;;;Clutches;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Beige Embroidered Clutch;beige-embroidered-clutch;Elevate your look with Maie Couture's Beige Embroidered Clutch. This sophisticated accessory, featuring intricate embroidery, suits both casual and formal wear. Embrace timeless el;Elevate your look with Maie Couture's Beige Embroidered Clutch. This sophisticated accessory, featuring intricate embroidery, suits both casual and formal wear. Embrace timeless elegance and versatility with this luxurious, practical clutch.;450;;NIS;https://static.wixstatic.com/media/e126e7_1beb5a43f2e549d5b85895ccc5842432~mv2.jpg;accessories;;;Clutches;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Small Window Black Leather Bag;small-window-black-leather-bag;Elevate your style with Maie Couture's Small Window Black Leather Bag. Featuring intricate embroidery on premium leather, it combines luxury and craftsmanship for a timeless look.;Elevate your style with Maie Couture's Small Window Black Leather Bag. Featuring intricate embroidery on premium leather, it combines luxury and craftsmanship for a timeless look. Perfectly sized for essentials, it adds elegance and functionality to any outfit, embodying quality and durability for the discerning fashionista.;450;;NIS;https://static.wixstatic.com/media/e126e7_427901b1c809403d91ce1eddca29c38c~mv2.jpg;accessories;;;Bags;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Black Clutch with Red Embroidery;black-clutch-with-red-embroidery;Discover elegance with our Black Clutch with Red Embroidery. At Maie Couture, we craft each piece to perfection, combining quality with contemporary and traditional design. Perfect;Discover elegance with our Black Clutch with Red Embroidery. At Maie Couture, we craft each piece to perfection, combining quality with contemporary and traditional design. Perfect for any occasion, it effortlessly adds class. Elevate your accessory game with Maie Couture today.;450;;NIS;https://static.wixstatic.com/media/e126e7_630a53bb37894cd788d112d990582b6b~mv2.jpg;accessories;;;Clutches;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Navy Embroidered Clutch;navy-embroidered-clutch;Discover elegance with Maie Couture's Navy Embroidered Clutch. Expert craftsmanship and intricate embroidery elevate your evening look. Perfectly sized for essentials, it combines;Discover elegance with Maie Couture's Navy Embroidered Clutch. Expert craftsmanship and intricate embroidery elevate your evening look. Perfectly sized for essentials, it combines functionality and style. Trust Maie Couture for timeless pieces that reflect your sophisticated taste. Make a statement with this refined accessory.;450;;NIS;https://static.wixstatic.com/media/e126e7_fc876ab3d92948d685672a88a83eacfe~mv2.jpg;accessories;;;Clutches;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Black Leather Clutch;black-leather-clutch;Elevate your evening with the Black Leather Clutch from Maie Couture. Crafted from premium leather and adorned with fine embroidery, this sleek accessory combines elegance and func;Elevate your evening with the Black Leather Clutch from Maie Couture. Crafted from premium leather and adorned with fine embroidery, this sleek accessory combines elegance and functionality. Perfectly sized for essentials, it complements any outfit. Trust Maie Couture's quality and style to add luxury to your wardrobe. Discover exceptional craftsmanship in this exquisite piece.;450;;NIS;https://static.wixstatic.com/media/e126e7_4db74fba9eb74913be22eb3e176b717d~mv2.jpg;accessories;;;Clutches;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 7 business days
Floor-Length Open Window Vest;floor-length-open-window-vest;Floor-Length Open Window Vest: A refined ready-to-wear design for modern everyday elegance.;Floor-Length Open Window Vest is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;800;;NIS;https://static.wixstatic.com/media/e126e7_952ea0c8fbc5412284ca888e22f39336~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
White Blazer with Red Embroidery;white-blazer-with-red-embroidery;White Blazer with Red Embroidery: A refined ready-to-wear design for modern everyday elegance.;White Blazer with Red Embroidery is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1300;;NIS;https://static.wixstatic.com/media/e126e7_5108214fd3774c44a31f30d173985f0c~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Kufiyyeh Vest;kufiyyeh-vest;Kufiyyeh Vest: A refined ready-to-wear design for modern everyday elegance.;Kufiyyeh Vest is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;450;;NIS;https://static.wixstatic.com/media/e126e7_a60162311d214bd49efc2fe658ac8d13~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Hand-Embroidered Blue Blazer;hand-embroidered-blue-blazer;Hand-Embroidered Blue Blazer: A refined ready-to-wear design for modern everyday elegance.;Hand-Embroidered Blue Blazer is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_312282bcf10c4929887a5166566a501b~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 3-5 business days
Black Blazer with Floral Embroidery Details;black-blazer-with-floral-embroidery-details;Black Blazer with Floral Embroidery Details: A refined ready-to-wear design for modern everyday elegance.;Black Blazer with Floral Embroidery Details is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_7604895065154e0e9ac363b2b8b92b9d~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
White Blazer with Floral Embroidery Details;white-blazer-with-floral-embroidery-details;White Blazer with Floral Embroidery Details: A refined ready-to-wear design for modern everyday elegance.;White Blazer with Floral Embroidery Details is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_1097095a7f464cda9089d11a16481521~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Embroidered Trench Coat;embroidered-trench-coat;Embroidered Trench Coat: A refined ready-to-wear design for modern everyday elegance.;Embroidered Trench Coat is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_3a5ec68c818d4547b22f5a028425cf9f~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Floor-Length Vest;floor-length-vest;Floor-Length Vest: A refined ready-to-wear design for modern everyday elegance.;Floor-Length Vest is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;800;;NIS;https://static.wixstatic.com/media/e126e7_850f444821ec4670acbcde92ba68b469~mv2.jpg;ready-to-wear;Vests and Blazers;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Ships in 3-5 business days
Colorful Embroidered Cape;colorful-embroidered-cape;Colorful Embroidered Cape: A refined ready-to-wear design for modern everyday elegance.;Colorful Embroidered Cape is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_f31c3f1295264e6e925f356da2f6971b~mv2.jpg;ready-to-wear;Sets;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Colorfully Embroidered Kimono in Red;colorfully-embroidered-kimono-in-red;Colorfully Embroidered Kimono in Red: A refined ready-to-wear design for modern everyday elegance.;Colorfully Embroidered Kimono in Red is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_415db0c4944148108d502df98f3c0251~mv2.jpg;ready-to-wear;Sets;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Colorfully Embroidered Kimono;colorfully-embroidered-kimono;Colorfully Embroidered Kimono: A refined ready-to-wear design for modern everyday elegance.;Colorfully Embroidered Kimono is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_b347609418ee45fbb6051f3944fcb1b3~mv2.jpg;ready-to-wear;Abayas;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Lace Detailed Embroidered Set;lace-detailed-embroidered-set;Lace Detailed Embroidered Set: A refined ready-to-wear design for modern everyday elegance.;Lace Detailed Hand Embroidered Set is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2500;;NIS;https://static.wixstatic.com/media/e126e7_8e43df2f55144bfa995840f79e9f6b64~mv2.jpg;ready-to-wear;Sets;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Hard Silk Embroidered Set;hard-silk-embroidered-set;Hard Silk Embroidered Set: A refined ready-to-wear design for modern everyday elegance.;Hard Silk Embroidered Set is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2000;;NIS;https://static.wixstatic.com/media/e126e7_b8761db8027a4b07a50243a337f15118~mv2.jpg;ready-to-wear;Sets;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Maxi Embroidered Skirt Set;maxi-embroidered-skirt-set;maxi embroidered skirt set: A refined ready-to-wear design for modern everyday elegance.;maxi embroidered skirt set is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;2000;;NIS;https://static.wixstatic.com/media/e126e7_ddd9f5c5761049aa924aecaada1c847c~mv2.jpg;ready-to-wear;Sets;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Long Sleeve Red and Yellow Embroidered Jumpsuit;red-and-yellow-embroidered-black-jumpsuit;Elevate your wardrobe with our stunning Red and Yellow Embroidered, High Neck Black Jumpsuit from Maie Couture. This chic piece combines vibrant embroidery with a classic black backdrop, offe;Elevate your wardrobe with our stunning Red and Yellow Embroidered Black Jumpsuit from Maie Couture. This chic piece combines vibrant embroidery with a classic black backdrop, offering a perfect blend of elegance and bold style. Ideal for any occasion, the meticulous craftsmanship reflects our commitment to high-quality, timeless fashion. Discover the ultimate balance of comfort and sophistication, designed to make you stand out effortlessly. Experience the luxury of Maie Couture with every wear.;1500;;NIS;https://static.wixstatic.com/media/e126e7_c4c9cff7d0de4b9f97dc3cce3c87d797~mv2.jpg;ready-to-wear;Jumpsuit;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Maxi Open Sleeves Jumpsuit;Maxi-open-sleeves-jumpsuit;Maxi Sleeves Tatreez Jumpsuit: A refined ready-to-wear design for modern everyday elegance.;Red Tatreez Jumpsuit is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1800;;NIS;https://static.wixstatic.com/media/e126e7_4c8f519e4c114613afb81c23c3cb93ca~mv2.jpg;ready-to-wear;Jumpsuit;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Midnight Heritage Jumpsuit;midnight-heritage-jumpsuit;Midnight Heritage Jumpsuit: A refined ready-to-wear design for modern everyday elegance.;Midnight Heritage Jumpsuit is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_159855b05bd9427094fe8533e2ad9ba6~mv2.jpg;ready-to-wear;Jumpsuit;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Floral Embroidered Jumpsuit;floral-embroidered-jumpsuit;Floral Embroidered Jumpsuit: A refined ready-to-wear design for modern everyday elegance.;Floral Embroidered Jumpsuit is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_916cb56fa96640a7b9014b36e652aba2~mv2.jpg;ready-to-wear;Jumpsuit;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
Red Open-Window White Jumpsuit;red-open-window-white-jumpsuit;Red Open-Window White Jumpsuit: A refined ready-to-wear design for modern everyday elegance.;Red Open-Window White Jumpsuit is part of Maie Couture's curated edit, designed for day-to-evening styling with versatile couture finishes. Crafted with premium materials and careful finishing, each piece balances timeless elegance with modern sophistication.;1500;;NIS;https://static.wixstatic.com/media/e126e7_c15d3556073d4ceda1711a563d5bd3df~mv2.jpg;ready-to-wear;Jumpsuit;;;TRUE;TRUE;FALSE;DIRECT_PURCHASE;EVERGREEN;FALSE;Usually ready within 2 weeks.
